Serie,Temporada,numero episodio,Titulo del episodio,Sinopsis,Link Sub ,Link Lat
Supergirl,1,1,Pilot,"SUPERGIRL es un drama de acción y aventura basado en el personaje de DC comics Kara Zor-El, prima de Superman (Kal-El), que después de mantener sus poderes en secreto durante 12 años en la Tierra finalmente decide aceptar sus habilidades sobrehumanas y ser la heroína que siempre estuvo destinada a ser. Kara escapa del condenado planeta Krypton a los doce años con ayuda de sus padres al mismo tiempo que el pequeño Kal-El. Protegida y criada en la Tierra por su familia de acogida, los Danvers, Kara creció a la sombra de su hermana, Alex, y aprendió a contener los asombrosos poderes que comparte con su primo para mantener su identidad en secreto. Años después, a los 24, Kara vive en National City trabajando para una magnate de los medios y dura jefa, Cat Grant. Trabaja junto a su amigo y técnico de IT Winn Schott, así como con el fotógrafo James Olsen, a quien Grant acaba de contratar desde el Daily Planet para que le sirva como nuevo director de arte. Sin embargo, los días de secretismo de Kara terminan cuando Hank Henshaw, líder de una agencia secreta donde también se encuentra su hermana, la alistan para que ayude a proteger a los ciudadanos de National City de oscuras amenazas. Aunque Kara necesitará ayuda para equilibrar su recobrado poder con sus relaciones como humana, su corazón igualmente se alza hasta el cielo como Supergirl para luchar contra el crimen.",https://openload.co/f/pD6B7pnK32I/SGS01E01subESP.mp4,
Supergirl,1,2,Stronger Together,"Cuando los intentos de Kara por ayudar a National City no van según lo planeado, debe dejar a un lado las dudas que ella (y los medios de la ciudad) tienen sobre sus habilidades para capturar a un fugitivo de la prisión kryptoniana, Fort Rozz. Además, Cat presiona a James para usar su conexión con Superman para conseguirle una entrevista con Supergirl"". ",,
Supergirl,1,3,Fight or Flight,"Los poderes de Supergirl son probados cuando uno de los enemigos más formidables de Superman, Reactron, llega a National City para derrotarla. Mientras tanto, Cat planea exponer a Supergirl.",,
Supergirl,1,4,How Does she do it?,"Las dos identidades de Kara se acercan cuando Supergirl debe proteger National City de una serie de atentados con bomba y Kara debe cuidar al hijo de Cat, Carter. Además, James se encuentra en un conflicto cuando su ex-novia Lucy busca reencauzar su relación, en “Supergirl”, el lunes 16 de noviembre (8:00-9:00 PM, ET/PT) en CBS Television Network. Levi Miller es estrella invitada como Carter Grant, el hijo de Cat, y Jenna Dewan-Tatum es estrella invitada como Lucy Lane.",,
Supergirl,1,5,Livewire,"La noche de Acción de Gracias de Kara podría verse arruinada cuando sospecha que su madre adoptiva, la Dra. Danvers (Helen Slater), que viene a la ciudad, desaprueba su nuevo papel como superhéroe. Además, cuando un accidente transforma a una volatil empleada de CatCo en la villana Livewire, establece como objetivo a Cat y Supergirl. Brit Morgan es estrella invitada como Leslie Willis / Livewire, y la antigua Supergirl Helen Slater es estrella invitada como la Dra. Eliza Danvers, la madre adoptiva de Kara.",,
Supergirl,1,6,Red faced,"El estrés personal y profesional sacan lo mejor de Kara cuando llega demasiado lejos durante un ejercicio de entrenamiento contra Tornado Rojo, un cíborg militar encargado por el padre de Lucy Lane, el General Sam Lane. Además, la dura coraza externa de Cat se ve agitada por una visita de su crítica madre, Katherine, y Alex recluta a Winn para investigar la misteriosa muerte de su padre. Como estrellas invitadas estarán Iddo Goldberg como Tornado Rojo y su creador, el Dr. Morrow; Joan Juliet Buck como Katherine Grant, la madre de Cat; y Glenn Morshower como General Sam Lane, el padre de Lucy.",,
Supergirl,1,7,Human for a day,"""Kara y sus amigos deberán confiar en su fortaleza y coraje interior cuando un terremoto sacuda National City. Además, la desconfianza de Alex en Hank alcanza un punto de inflexión cuando el terremoto los atrapa en el DEO junto a Jemm , un poderoso extraterrestre fugitivo"".",,
Supergirl,1,8,Hostile takeover,"""Kara debe de enfrentarse de nuevo a su tía Astra donde está hará que dude de las creencias hacia su madre. A su vez  Cat corre peligro de ser apartada como CEO de CatCo, ya que un hacker ha desvelado correo personal suyo.""",,
Supergirl,1,9,Blood Bonds,"Con Astra en cautividad en el DEO, su marido, Non (estrella invitada Chris Vance), captura a Hank, llevando a un tenso enfrentamiento entre ambos bandos. Además, Kara continúa negando las afirmaciones de Cat sobre que ella es Supergirl.",,
Supergirl,1,10,Childish Things,"Kara hace todo lo que puede para apoyar a Winn cuando su padre, el súper villano El Juguetero, escapa de prisión y busca a su hijo por razones desconocidas. Además, Cat ofrece a Lucy un trabajo en CatCo y Alex le pide a Hank que use sus poderes para ayudar a descubrir los planes de Maxwell Lord. Herny Czerny aparece como estrella invitada como Winslow Schott, alias Juguetero. ¿Podrá Kara mantener a Winn a salvo cuando su padre, el malvado Juguetero, escape de prisión?",,
